time;signal
0;386
0.2;379
0.4;379
0.6;374
0.8;374
1;379
1.2;388
1.4;385
1.6;384
1.8;385
2;381
2.2;376
2.4;375
2.6;381
2.8;377
3;378
3.2;382
3.4;378
3.6;380
3.8;372
4;380
4.2;392
4.4;394
4.6;389
4.8;389
5;388
5.2;381
5.4;379
5.6;381
5.8;380
6;376
6.2;382
6.4;382
6.6;379
6.8;379
7;378
7.2;382
7.4;375
7.6;375
7.8;372
8;381
8.2;377
8.4;379
8.6;383
8.8;377
9;381
9.2;386
9.4;389
9.6;387
9.8;394
10;384
10.2;380
10.4;379
10.6;378
10.8;379
11;381
11.2;379
11.4;376
11.6;378
11.8;376
12;379
12.2;378
12.4;389
12.6;376
12.8;391
13;383
13.2;378
13.4;378
13.6;383
13.8;378
14;381
14.2;387
14.4;380
14.6;385
14.8;381
15;385
15.2;394
15.4;387
15.6;390
15.8;392
16;393
16.2;376
16.4;378
16.6;375
16.8;378
17;384
17.2;376
17.4;376
17.6;381
17.8;379
18;380
18.2;379
18.4;377
18.6;379
18.8;380
19;381
19.2;382
19.4;388
19.6;385
19.8;382
20;381
20.2;384
20.4;393
20.6;388
20.8;391
21;392
21.2;383
21.4;379
21.6;380
21.8;382
22;379
22.2;381
22.4;377
22.6;388
22.8;380
23;380
23.2;386
23.4;380
23.6;381
23.8;380
24;378
24.2;381
24.4;377
24.6;378
24.8;377
25;379
25.2;393
25.4;391
25.6;387
25.8;389
26;390
26.2;378
26.4;384
26.6;373
26.8;378
27;381
27.2;378
27.4;378
27.6;379
27.8;380
28;379
28.2;377
28.4;378
28.6;381
28.8;378
29;377
29.2;380
29.4;374
29.6;386
29.8;377
30;377
30.2;387
30.4;394
30.6;391
30.8;387
31;390
31.2;377
31.4;379
31.6;379
31.8;381
32;376
32.2;383
32.4;384
32.6;383
32.8;388
33;384
33.2;381
33.4;380
33.6;380
33.8;380
34;378
34.2;380
34.4;378
34.6;376
34.8;376
35;381
35.2;395
35.4;393
35.6;393
35.8;388
36;391
36.2;383
36.4;382
36.6;379
36.8;382
37;378
37.2;384
37.4;381
37.6;386
37.8;384
38;387
38.2;384
38.4;378
38.6;380
38.8;384
39;382
39.2;377
39.4;387
39.6;381
39.8;382
40;377
40.2;384
40.4;383
40.6;383
40.8;384
41;384
41.2;380
41.4;378
41.6;381
41.8;378
42;381
42.2;380
